name,slipNumber,category
アレスマスク,1,サルベージ装備
アレスキュイラス,1,サルベージ装備
アレスガントレット,1,サルベージ装備
アレスフランチャー,1,サルベージ装備
アレスソルレット,1,サルベージ装備
エニュオマスク,1,サルベージ装備
エニュオプレート,1,サルベージ装備
エニュオガントレ,1,サルベージ装備
エニュオクウィス,1,サルベージ装備
エニュオレギンス,1,サルベージ装備
フォボスマスク,1,サルベージ装備
フォボスキュイラス,1,サルベージ装備
フォボスガントレ,1,サルベージ装備
フォボスクウィス,1,サルベージ装備
フォボスサバトン,1,サルベージ装備
ダイモスマスク,1,サルベージ装備
ダイモスキュイラス,1,サルベージ装備
ダイモスガントレ,1,サルベージ装備
ダイモスクウィス,1,サルベージ装備
ダイモスレギンス,1,サルベージ装備
スカディバイザー,1,サルベージ装備
スカディクウィリ,1,サルベージ装備
スカディバズバンド,1,サルベージ装備
スカディショウス,1,サルベージ装備
スカディジャンボー,1,サルベージ装備
ニョルドマスク,1,サルベージ装備
ニョルドジャーキン,1,サルベージ装備
ニョルドグローブ,1,サルベージ装備
ニョルドトラウザ,1,サルベージ装備
ニョルドレデルセン,1,サルベージ装備
フレイマスク,1,サルベージ装備
フレイジャーキン,1,サルベージ装備
フレイグローブ,1,サルベージ装備
フレイトラウザ,1,サルベージ装備
フレイレデルセン,1,サルベージ装備
フレイヤマスク,1,サルベージ装備
フレイヤジャーキン,1,サルベージ装備
フレイヤグローブ,1,サルベージ装備
フレイヤトラウザ,1,サルベージ装備
フレイヤレデルセン,1,サルベージ装備
薄金総面,1,サルベージ装備
薄金腹巻,1,サルベージ装備
薄金篭手,1,サルベージ装備
薄金膝甲,1,サルベージ装備
薄金脛当,1,サルベージ装備
星数鉢巻,1,サルベージ装備
星数の衣,1,サルベージ装備
星数の手甲,1,サルベージ装備
星数の袴,1,サルベージ装備
星数の脚絆,1,サルベージ装備
月数陣鉢,1,サルベージ装備
月数闘着,1,サルベージ装備
月数篭手,1,サルベージ装備
月数佩楯,1,サルベージ装備
月数脛当,1,サルベージ装備
日数兜,1,サルベージ装備
日数腹当,1,サルベージ装備
日数篭手,1,サルベージ装備
日数の袴,1,サルベージ装備
日数脛当,1,サルベージ装備
マルドゥクティアラ,1,サルベージ装備
マルドゥクジュバ,1,サルベージ装備
マルドゥクダスタナ,1,サルベージ装備
マルドゥクシャルワ,1,サルベージ装備
マルドゥククラッコ,1,サルベージ装備
アヌティアラ,1,サルベージ装備
アヌダブレット,1,サルベージ装備
アヌゲージ,1,サルベージ装備
アヌブレー,1,サルベージ装備
アヌゲートル,1,サルベージ装備
エアティアラ,1,サルベージ装備
エアダブレット,1,サルベージ装備
エアダスタナ,1,サルベージ装備
