slipNumber,displayName
1,【01】サルベージ、ナイズル、アサルト等
2,【02】免罪装備、四神、リンバス等
3,【03】花鳥・戦績・VW・エンブリオ
4,【04】アーティファクト（AF1）
5,【05】アーティファクト+1（AF1+1）
6,【06】レリック装束（AF2）
7,【07】レリックカスタム（AF2+1）
8,【08】エンピリアン装束（AF3）
9,【09】エンピリアン装束+1（AF3+1）
10,【10】エンピリアン装束+2（AF3+2）
11,【11】イベント報酬装備
12,【12】損壊したレリック装束
13,【13】レリック装束+2（AF2+2）
14,【14】サルベージ2・ナイズル2・他
15,【15】アーティファクト109（AF1打ち直し）
16,【16】アーティファクト119（AF1+1）
17,【17】レリック109（AF2打ち直し）
18,【18】レリック119（AF2+1）
19,【19】イベント報酬装備2・指定生産品
20,【20】エンピリアン109（AF3打ち直し）
21,【21】エンピリアン119（AF3+1）
22,【22】イベント報酬装備3
23,【23】アンバスケード装備
24,【24】アーティファクト119+2（AF1+2）
25,【25】アーティファクト119+3（AF1+3）
26,【26】レリック119+2（AF2+2）
27,【27】レリック119+3（AF2+3）
28,【28】アンバスケード武器
29,【29】エンピリアン119+2（AF3+2）
30,【30】エンピリアン119+3（AF3+3）
31,【31】イベント報酬装備4
32,【32】アーティファクト119+4（AF1+4）
33,【33】レリック119+4（AF2+4）
